crop,date,price_per_kg,market
Tomato,2026-02-18,24.79,Delhi
Tomato,2026-02-19,22.95,Panipat
Tomato,2026-02-20,22.93,Hisar
Tomato,2026-02-21,22.07,Karnal
Tomato,2026-02-22,20.55,Karnal
Tomato,2026-02-23,20.66,Panipat
Tomato,2026-02-24,24.2,Ambala
Tomato,2026-02-25,23.98,Ambala
Tomato,2026-02-26,23.87,Gurugram
Tomato,2026-02-27,22.68,Gurugram
Tomato,2026-02-28,20.48,Gurugram
Tomato,2026-03-01,19.4,Hisar
Tomato,2026-03-02,23.07,Delhi
Tomato,2026-03-03,21.3,Gurugram
Tomato,2026-03-04,22.21,Ludhiana
Tomato,2026-03-05,22.53,Hisar
Tomato,2026-03-06,20.12,Chandigarh
Tomato,2026-03-07,23.69,Panipat
Tomato,2026-03-08,22.11,Chandigarh
Tomato,2026-03-09,22.82,Ludhiana
Tomato,2026-03-10,21.28,Ambala
Tomato,2026-03-11,20.52,Karnal
Tomato,2026-03-12,23.07,Delhi
Tomato,2026-03-13,20.57,Ludhiana
Tomato,2026-03-14,20.41,Ludhiana
Tomato,2026-03-15,21.88,Hisar
Tomato,2026-03-16,20.82,Ludhiana
Tomato,2026-03-17,23.15,Sonipat
Tomato,2026-03-18,21.5,Gurugram
Tomato,2026-03-19,22.91,Gurugram
Tomato,2026-03-20,20.56,Ambala
Tomato,2026-03-21,22.47,Panipat
Tomato,2026-03-22,21.81,Chandigarh
Tomato,2026-03-23,23.59,Delhi
Tomato,2026-03-24,20.39,Hisar
Tomato,2026-03-25,21.51,Karnal
Tomato,2026-03-26,22.43,Ludhiana
Tomato,2026-03-27,21.33,Rohtak
Tomato,2026-03-28,19.72,Karnal
Tomato,2026-03-29,21.14,Karnal
Tomato,2026-03-30,20.69,Ambala
Tomato,2026-03-31,20.98,Chandigarh
Tomato,2026-04-01,22.62,Hisar
Tomato,2026-04-02,24.83,Chandigarh
Tomato,2026-04-03,21.69,Ludhiana
Tomato,2026-04-04,21.41,Panipat
Tomato,2026-04-05,21.22,Karnal
Tomato,2026-04-06,21.63,Chandigarh
Tomato,2026-04-07,24.63,Sonipat
Tomato,2026-04-08,21.05,Ludhiana
Tomato,2026-04-09,21.46,Ambala
Tomato,2026-04-10,24.77,Chandigarh
Tomato,2026-04-11,22.98,Delhi
Tomato,2026-04-12,24.1,Panipat
Tomato,2026-04-13,21.25,Sonipat
Tomato,2026-04-14,21.61,Chandigarh
Tomato,2026-04-15,20.78,Rohtak
Tomato,2026-04-16,24.8,Chandigarh
Tomato,2026-04-17,21.58,Sonipat
Tomato,2026-04-18,23.22,Ludhiana
Tomato,2026-04-19,20.69,Rohtak
Tomato,2026-04-20,22.94,Ludhiana
Tomato,2026-04-21,22.49,Gurugram
Tomato,2026-04-22,21.1,Rohtak
Tomato,2026-04-23,21.43,Ludhiana
Tomato,2026-04-24,20.79,Delhi
Tomato,2026-04-25,22.16,Delhi
Tomato,2026-04-26,23.0,Rohtak
Tomato,2026-04-27,20.99,Ambala
Tomato,2026-04-28,24.79,Delhi
Tomato,2026-04-29,25.02,Delhi
Tomato,2026-04-30,22.95,Hisar
Tomato,2026-05-01,24.12,Ambala
Tomato,2026-05-02,22.24,Chandigarh
Tomato,2026-05-03,23.02,Ludhiana
Tomato,2026-05-04,22.62,Ambala
Tomato,2026-05-05,26.07,Panipat
Tomato,2026-05-06,23.98,Rohtak
Tomato,2026-05-07,24.2,Delhi
Tomato,2026-05-08,25.89,Karnal
Tomato,2026-05-09,24.3,Panipat
Tomato,2026-05-10,24.49,Sonipat
Tomato,2026-05-11,22.41,Chandigarh
Tomato,2026-05-12,21.6,Rohtak
Tomato,2026-05-13,23.27,Ambala
Tomato,2026-05-14,23.58,Rohtak
Tomato,2026-05-15,22.41,Panipat
Tomato,2026-05-16,24.77,Ludhiana
Tomato,2026-05-17,21.63,Karnal
Tomato,2026-05-18,25.9,Ambala
Tomato,2026-05-19,24.6,Karnal
Tomato,2026-05-20,23.43,Chandigarh
Tomato,2026-05-21,22.44,Sonipat
Tomato,2026-05-22,25.87,Sonipat
Tomato,2026-05-23,21.7,Sonipat
Tomato,2026-05-24,25.32,Ambala
Tomato,2026-05-25,25.11,Ambala
Tomato,2026-05-26,25.99,Ludhiana
Tomato,2026-05-27,22.0,Panipat
Tomato,2026-05-28,24.9,Panipat
Tomato,2026-05-29,23.91,Ludhiana
Tomato,2026-05-30,23.61,Ambala
Tomato,2026-05-31,21.62,Hisar
Tomato,2026-06-01,26.09,Ambala
Tomato,2026-06-02,23.58,Delhi
Tomato,2026-06-03,23.48,Ambala
Tomato,2026-06-04,25.36,Rohtak
Tomato,2026-06-05,27.53,Panipat
Tomato,2026-06-06,25.33,Sonipat
Tomato,2026-06-07,24.78,Ludhiana
Tomato,2026-06-08,27.13,Sonipat
Tomato,2026-06-09,27.57,Hisar
Tomato,2026-06-10,25.68,Ludhiana
Tomato,2026-06-11,27.44,Ludhiana
Tomato,2026-06-12,24.2,Gurugram
Tomato,2026-06-13,24.07,Delhi
Tomato,2026-06-14,26.9,Gurugram
Tomato,2026-06-15,24.56,Ludhiana
Tomato,2026-06-16,23.92,Hisar
Tomato,2026-06-17,26.7,Chandigarh
Tomato,2026-06-18,22.62,Delhi
Tomato,2026-06-19,24.09,Gurugram
Tomato,2026-06-20,23.05,Hisar
Tomato,2026-06-21,27.01,Rohtak
Tomato,2026-06-22,25.92,Chandigarh
Tomato,2026-06-23,24.9,Rohtak
Tomato,2026-06-24,23.46,Gurugram
Tomato,2026-06-25,25.77,Ludhiana
Tomato,2026-06-26,25.79,Rohtak
Tomato,2026-06-27,23.57,Chandigarh
Tomato,2026-06-28,23.19,Panipat
Tomato,2026-06-29,24.82,Ludhiana
Tomato,2026-06-30,23.16,Ambala
Tomato,2026-07-01,27.74,Sonipat
Tomato,2026-07-02,25.07,Rohtak
Tomato,2026-07-03,26.4,Delhi
Tomato,2026-07-04,24.61,Delhi
Tomato,2026-07-05,25.91,Delhi
Tomato,2026-07-06,26.94,Sonipat
Tomato,2026-07-07,26.12,Panipat
Tomato,2026-07-08,26.19,Panipat
Tomato,2026-07-09,25.68,Ludhiana
Tomato,2026-07-10,28.79,Karnal
Tomato,2026-07-11,25.92,Sonipat
Tomato,2026-07-12,25.52,Ambala
Tomato,2026-07-13,26.21,Sonipat
Tomato,2026-07-14,28.16,Panipat
Tomato,2026-07-15,27.66,Hisar
Tomato,2026-07-16,25.29,Chandigarh
Tomato,2026-07-17,24.89,Rohtak
Tomato,2026-07-18,24.98,Panipat
Tomato,2026-07-19,28.03,Ambala
Tomato,2026-07-20,28.92,Ludhiana
Tomato,2026-07-21,28.19,Ludhiana
Tomato,2026-07-22,26.39,Gurugram
Tomato,2026-07-23,25.26,Chandigarh
Tomato,2026-07-24,25.5,Gurugram
Tomato,2026-07-25,28.21,Karnal
Tomato,2026-07-26,26.57,Karnal
Tomato,2026-07-27,28.14,Hisar
Tomato,2026-07-28,23.67,Ludhiana
Tomato,2026-07-29,27.3,Hisar
Tomato,2026-07-30,25.55,Sonipat
Tomato,2026-07-31,26.15,Rohtak
Tomato,2026-08-01,24.98,Ambala
Tomato,2026-08-02,26.15,Delhi
Tomato,2026-08-03,29.23,Ludhiana
Tomato,2026-08-04,24.82,Ludhiana
Tomato,2026-08-05,24.33,Sonipat
Tomato,2026-08-06,26.58,Sonipat
Tomato,2026-08-07,24.67,Panipat
Tomato,2026-08-08,26.16,Hisar
Tomato,2026-08-09,27.93,Gurugram
Tomato,2026-08-10,29.07,Chandigarh
Tomato,2026-08-11,26.38,Gurugram
Tomato,2026-08-12,27.78,Ludhiana
Tomato,2026-08-13,29.17,Rohtak
Tomato,2026-08-14,27.71,Karnal
Tomato,2026-08-15,27.78,Panipat
Tomato,2026-08-16,29.85,Delhi
Tomato,2026-08-17,26.65,Delhi
Tomato,2026-08-18,28.49,Delhi
Tomato,2026-08-19,26.69,Panipat
Tomato,2026-08-20,29.29,Rohtak
Tomato,2026-08-21,26.0,Rohtak
Tomato,2026-08-22,25.81,Gurugram
Tomato,2026-08-23,26.58,Karnal
Tomato,2026-08-24,27.14,Ambala
Tomato,2026-08-25,27.98,Sonipat
Tomato,2026-08-26,25.08,Delhi
Tomato,2026-08-27,27.56,Hisar
Tomato,2026-08-28,27.6,Karnal
Tomato,2026-08-29,26.9,Ambala
Tomato,2026-08-30,24.89,Ludhiana
Tomato,2026-08-31,27.67,Ludhiana
Tomato,2026-09-01,26.38,Rohtak
Tomato,2026-09-02,30.13,Ludhiana
Tomato,2026-09-03,30.13,Chandigarh
Tomato,2026-09-04,25.78,Ludhiana
Tomato,2026-09-05,30.36,Ambala
Tomato,2026-09-06,26.58,Hisar
Tomato,2026-09-07,28.85,Ludhiana
Tomato,2026-09-08,29.74,Karnal
Tomato,2026-09-09,30.62,Ludhiana
Tomato,2026-09-10,25.41,Hisar
Tomato,2026-09-11,28.11,Ambala
Tomato,2026-09-12,26.49,Panipat
Wheat,2025-09-13,24.43,Hisar
Wheat,2025-09-14,24.74,Ambala
Wheat,2025-09-15,25.46,Rohtak
Wheat,2025-09-16,25.53,Ludhiana
Wheat,2025-09-17,25.45,Panipat
Wheat,2025-09-18,25.39,Karnal
Wheat,2025-09-19,25.2,Gurugram
Wheat,2025-09-20,24.75,Karnal
Wheat,2025-09-21,25.24,Sonipat
Wheat,2025-09-22,25.27,Rohtak
Wheat,2025-09-23,24.89,Ludhiana
Wheat,2025-09-24,24.57,Gurugram
Wheat,2025-09-25,25.43,Delhi
Wheat,2025-09-26,25.65,Gurugram
Wheat,2025-09-27,25.47,Sonipat
Wheat,2025-09-28,24.82,Chandigarh
Wheat,2025-09-29,25.65,Gurugram
Wheat,2025-09-30,25.24,Panipat
Wheat,2025-10-01,24.59,Panipat
Wheat,2025-10-02,24.7,Ludhiana
Wheat,2025-10-03,24.77,Panipat
Wheat,2025-10-04,24.53,Gurugram
Wheat,2025-10-05,24.61,Ludhiana
Wheat,2025-10-06,24.8,Sonipat
Wheat,2025-10-07,24.57,Karnal
Wheat,2025-10-08,24.7,Hisar
Wheat,2025-10-09,24.84,Chandigarh
Wheat,2025-10-10,24.14,Hisar
Wheat,2025-10-11,23.74,Chandigarh
Wheat,2025-10-12,23.88,Gurugram
Wheat,2025-10-13,24.53,Panipat
Wheat,2025-10-14,24.43,Gurugram
Wheat,2025-10-15,23.89,Karnal
Wheat,2025-10-16,24.32,Ambala
Wheat,2025-10-17,24.81,Chandigarh
Wheat,2025-10-18,24.17,Ambala
Wheat,2025-10-19,24.05,Delhi
Wheat,2025-10-20,24.54,Ludhiana
Wheat,2025-10-21,24.87,Panipat
Wheat,2025-10-22,24.57,Delhi
Wheat,2025-10-23,23.98,Rohtak
Wheat,2025-10-24,24.18,Ludhiana
Wheat,2025-10-25,23.97,Karnal
Wheat,2025-10-26,24.88,Sonipat
Wheat,2025-10-27,24.3,Gurugram
Wheat,2025-10-28,24.63,Chandigarh
Wheat,2025-10-29,24.34,Sonipat
Wheat,2025-10-30,24.9,Delhi
Wheat,2025-10-31,24.84,Ambala
Wheat,2025-11-01,25.36,Panipat
Wheat,2025-11-02,24.9,Gurugram
Wheat,2025-11-03,25.13,Ludhiana
Wheat,2025-11-04,26.03,Gurugram
Wheat,2025-11-05,24.99,Gurugram
Wheat,2025-11-06,25.54,Gurugram
Wheat,2025-11-07,24.95,Panipat
Wheat,2025-11-08,25.11,Delhi
Wheat,2025-11-09,26.04,Ludhiana
Wheat,2025-11-10,25.0,Karnal
Wheat,2025-11-11,25.67,Ambala
Wheat,2025-11-12,26.08,Rohtak
Wheat,2025-11-13,25.85,Karnal
Wheat,2025-11-14,26.1,Ambala
Wheat,2025-11-15,25.14,Chandigarh
Wheat,2025-11-16,25.14,Karnal
Wheat,2025-11-17,25.88,Karnal
Wheat,2025-11-18,25.29,Sonipat
Wheat,2025-11-19,25.85,Ambala
Wheat,2025-11-20,24.89,Sonipat
Wheat,2025-11-21,26.09,Chandigarh
Wheat,2025-11-22,25.19,Sonipat
Wheat,2025-11-23,25.01,Rohtak
Wheat,2025-11-24,25.04,Gurugram
Wheat,2025-11-25,25.84,Karnal
Wheat,2025-11-26,25.59,Rohtak
Wheat,2025-11-27,25.08,Rohtak
Wheat,2025-11-28,25.02,Hisar
Wheat,2025-11-29,25.5,Delhi
Wheat,2025-11-30,25.44,Gurugram
Wheat,2025-12-01,26.49,Delhi
Wheat,2025-12-02,26.41,Karnal
Wheat,2025-12-03,27.03,Rohtak
Wheat,2025-12-04,26.75,Chandigarh
Wheat,2025-12-05,26.2,Rohtak
Wheat,2025-12-06,25.89,Ludhiana
Wheat,2025-12-07,26.88,Hisar
Wheat,2025-12-08,26.67,Ludhiana
Wheat,2025-12-09,26.7,Ludhiana
Wheat,2025-12-10,25.88,Delhi
Wheat,2025-12-11,26.19,Sonipat
Wheat,2025-12-12,25.85,Panipat
Wheat,2025-12-13,26.55,Ambala
Wheat,2025-12-14,26.45,Gurugram
Wheat,2025-12-15,26.23,Ambala
Wheat,2025-12-16,26.41,Ludhiana
Wheat,2025-12-17,26.37,Hisar
Wheat,2025-12-18,25.84,Delhi
Wheat,2025-12-19,26.79,Chandigarh
Wheat,2025-12-20,26.61,Karnal
Wheat,2025-12-21,26.23,Karnal
Wheat,2025-12-22,26.2,Ludhiana
Wheat,2025-12-23,26.17,Delhi
Wheat,2025-12-24,26.05,Gurugram
Wheat,2025-12-25,26.49,Gurugram
Wheat,2025-12-26,26.84,Ludhiana
Wheat,2025-12-27,25.71,Delhi
Wheat,2025-12-28,25.73,Delhi
Wheat,2025-12-29,26.54,Gurugram
Wheat,2025-12-30,26.61,Chandigarh
Wheat,2025-12-31,25.66,Chandigarh
Wheat,2026-01-01,27.29,Delhi
Wheat,2026-01-02,27.08,Hisar
Wheat,2026-01-03,27.66,Rohtak
Wheat,2026-01-04,27.78,Ambala
Wheat,2026-01-05,26.91,Delhi
Wheat,2026-01-06,27.24,Karnal
Wheat,2026-01-07,26.68,Ludhiana
Wheat,2026-01-08,26.76,Delhi
Wheat,2026-01-09,26.91,Chandigarh
Wheat,2026-01-10,26.92,Panipat
Wheat,2026-01-11,27.17,Hisar
Wheat,2026-01-12,27.51,Ambala
Wheat,2026-01-13,27.2,Chandigarh
Wheat,2026-01-14,26.42,Panipat
Wheat,2026-01-15,26.41,Panipat
Wheat,2026-01-16,27.27,Panipat
Wheat,2026-01-17,27.54,Gurugram
Wheat,2026-01-18,26.34,Sonipat
Wheat,2026-01-19,27.05,Hisar
Wheat,2026-01-20,26.4,Rohtak
Wheat,2026-01-21,26.41,Chandigarh
Wheat,2026-01-22,26.56,Hisar
Wheat,2026-01-23,26.85,Sonipat
Wheat,2026-01-24,26.73,Gurugram
Wheat,2026-01-25,27.25,Ambala
Wheat,2026-01-26,27.0,Rohtak
Wheat,2026-01-27,26.42,Ambala
Wheat,2026-01-28,26.27,Delhi
Wheat,2026-01-29,26.54,Hisar
Wheat,2026-01-30,26.8,Ludhiana
Wheat,2026-01-31,26.7,Karnal
Wheat,2026-02-01,28.13,Delhi
Wheat,2026-02-02,27.57,Delhi
Wheat,2026-02-03,27.48,Ambala
Wheat,2026-02-04,27.73,Panipat
Wheat,2026-02-05,27.13,Hisar
Wheat,2026-02-06,28.37,Rohtak
Wheat,2026-02-07,27.06,Panipat
Wheat,2026-02-08,28.3,Sonipat
Wheat,2026-02-09,28.04,Panipat
Wheat,2026-02-10,27.45,Rohtak
Wheat,2026-02-11,27.67,Hisar
Wheat,2026-02-12,27.23,Hisar
Wheat,2026-02-13,27.69,Karnal
Wheat,2026-02-14,27.64,Gurugram
Wheat,2026-02-15,27.06,Rohtak
Wheat,2026-02-16,27.53,Ludhiana
Wheat,2026-02-17,28.16,Gurugram
Wheat,2026-02-18,27.7,Ambala
Wheat,2026-02-19,27.46,Hisar
Wheat,2026-02-20,27.3,Hisar
Wheat,2026-02-21,26.93,Gurugram
Wheat,2026-02-22,27.12,Ambala
Wheat,2026-02-23,27.5,Gurugram
Wheat,2026-02-24,27.0,Delhi
Wheat,2026-02-25,27.19,Ambala
Wheat,2026-02-26,27.39,Delhi
Wheat,2026-02-27,27.38,Panipat
Wheat,2026-02-28,27.84,Karnal
Wheat,2026-03-01,28.26,Sonipat
Wheat,2026-03-02,27.9,Delhi
Wheat,2026-03-03,28.52,Karnal
Wheat,2026-03-04,29.02,Gurugram
Wheat,2026-03-05,28.26,Sonipat
Wheat,2026-03-06,28.1,Sonipat
Wheat,2026-03-07,28.12,Sonipat
Wheat,2026-03-08,28.59,Delhi
Wheat,2026-03-09,28.0,Ludhiana
Wheat,2026-03-10,28.39,Ambala
Wheat,2026-03-11,28.79,Ludhiana
Wheat,2026-03-12,28.68,Ambala
Wheat,2026-03-13,28.63,Ambala
Wheat,2026-03-14,28.19,Gurugram
Wheat,2026-03-15,27.95,Delhi
Wheat,2026-03-16,28.38,Panipat
Wheat,2026-03-17,28.83,Ambala
Wheat,2026-03-18,27.82,Chandigarh
Wheat,2026-03-19,27.84,Ludhiana
Wheat,2026-03-20,28.35,Rohtak
Wheat,2026-03-21,28.24,Panipat
Wheat,2026-03-22,27.84,Delhi
Wheat,2026-03-23,28.58,Chandigarh
Wheat,2026-03-24,28.26,Ambala
Wheat,2026-03-25,28.5,Rohtak
Wheat,2026-03-26,28.36,Ambala
Wheat,2026-03-27,28.63,Gurugram
Wheat,2026-03-28,28.57,Chandigarh
Wheat,2026-03-29,27.96,Rohtak
Wheat,2026-03-30,28.37,Gurugram
Wheat,2026-03-31,29.1,Delhi
Wheat,2026-04-01,29.43,Sonipat
Wheat,2026-04-02,28.78,Ludhiana
Wheat,2026-04-03,30.13,Chandigarh
Wheat,2026-04-04,29.47,Sonipat
Wheat,2026-04-05,29.25,Panipat
Wheat,2026-04-06,29.29,Gurugram
Wheat,2026-04-07,29.71,Rohtak
Wheat,2026-04-08,29.87,Gurugram
Wheat,2026-04-09,28.86,Delhi
Wheat,2026-04-10,29.56,Hisar
Wheat,2026-04-11,29.18,Ambala
Wheat,2026-04-12,30.02,Gurugram
Wheat,2026-04-13,28.91,Sonipat
Wheat,2026-04-14,30.1,Panipat
Wheat,2026-04-15,30.18,Hisar
Wheat,2026-04-16,29.0,Delhi
Wheat,2026-04-17,29.27,Hisar
Wheat,2026-04-18,29.75,Gurugram
Wheat,2026-04-19,30.0,Chandigarh
Wheat,2026-04-20,28.99,Hisar
Wheat,2026-04-21,29.59,Rohtak
Wheat,2026-04-22,29.39,Sonipat
Wheat,2026-04-23,30.24,Gurugram
Wheat,2026-04-24,30.25,Ludhiana
Wheat,2026-04-25,29.18,Sonipat
Wheat,2026-04-26,29.14,Panipat
Wheat,2026-04-27,30.14,Delhi
Wheat,2026-04-28,29.67,Chandigarh
Wheat,2026-04-29,30.15,Chandigarh
Wheat,2026-04-30,29.02,Gurugram
Wheat,2026-05-01,29.22,Ambala
Wheat,2026-05-02,28.21,Hisar
Wheat,2026-05-03,28.25,Sonipat
Wheat,2026-05-04,29.2,Ambala
Wheat,2026-05-05,29.18,Sonipat
Wheat,2026-05-06,29.08,Rohtak
Wheat,2026-05-07,28.66,Karnal
Wheat,2026-05-08,29.45,Ambala
Wheat,2026-05-09,28.51,Ludhiana
Wheat,2026-05-10,28.46,Karnal
Wheat,2026-05-11,28.57,Ludhiana
Wheat,2026-05-12,29.41,Karnal
Wheat,2026-05-13,28.68,Ambala
Wheat,2026-05-14,29.55,Ludhiana
Wheat,2026-05-15,29.27,Hisar
Wheat,2026-05-16,28.91,Hisar
Wheat,2026-05-17,29.57,Karnal
Wheat,2026-05-18,29.36,Sonipat
Wheat,2026-05-19,29.47,Rohtak
Wheat,2026-05-20,29.16,Gurugram
Wheat,2026-05-21,29.06,Delhi
Wheat,2026-05-22,29.29,Chandigarh
Wheat,2026-05-23,29.5,Panipat
Wheat,2026-05-24,28.44,Sonipat
Wheat,2026-05-25,28.72,Chandigarh
Wheat,2026-05-26,28.56,Hisar
Wheat,2026-05-27,28.5,Karnal
Wheat,2026-05-28,29.52,Gurugram
Wheat,2026-05-29,29.7,Hisar
Wheat,2026-05-30,28.49,Chandigarh
Wheat,2026-05-31,28.95,Hisar
Wheat,2026-06-01,28.8,Gurugram
Wheat,2026-06-02,27.78,Gurugram
Wheat,2026-06-03,28.74,Gurugram
Wheat,2026-06-04,28.57,Sonipat
Wheat,2026-06-05,27.56,Ludhiana
Wheat,2026-06-06,28.47,Sonipat
Wheat,2026-06-07,28.56,Ludhiana
Wheat,2026-06-08,28.16,Rohtak
Wheat,2026-06-09,28.79,Rohtak
Wheat,2026-06-10,27.92,Sonipat
Wheat,2026-06-11,28.33,Ambala
Wheat,2026-06-12,28.31,Delhi
Wheat,2026-06-13,28.66,Karnal
Wheat,2026-06-14,28.03,Rohtak
Wheat,2026-06-15,27.96,Ambala
Wheat,2026-06-16,28.27,Delhi
Wheat,2026-06-17,28.79,Ludhiana
