id,crop,date,region,quantity_kg
68,Tomato,2026-04-19,Ludhiana,100
69,Tomato,2026-04-19,Ambala,300
70,Tomato,2026-04-19,Karnal,50
71,Tomato,2026-04-19,Gurugram,200
72,Tomato,2026-04-20,Hisar,150
73,Tomato,2026-04-20,Chandigarh,150
74,Tomato,2026-04-20,Rohtak,300
75,Tomato,2026-04-20,Gurugram,300
76,Tomato,2026-04-21,Chandigarh,200
77,Tomato,2026-04-22,Karnal,150
78,Tomato,2026-04-23,Chandigarh,50
79,Tomato,2026-04-23,Delhi,100
80,Tomato,2026-04-24,Chandigarh,50
81,Tomato,2026-04-24,Delhi,100
82,Tomato,2026-04-24,Karnal,200
83,Tomato,2026-04-24,Delhi,100
84,Tomato,2026-04-24,Chandigarh,200
85,Tomato,2026-04-25,Delhi,100
86,Tomato,2026-04-25,Rohtak,200
87,Tomato,2026-04-25,Gurugram,50
88,Tomato,2026-04-26,Panipat,300
89,Tomato,2026-04-26,Delhi,300
90,Tomato,2026-04-27,Karnal,150
91,Tomato,2026-04-27,Hisar,200
92,Tomato,2026-04-28,Gurugram,50
93,Tomato,2026-04-29,Hisar,50
94,Tomato,2026-04-29,Chandigarh,50
95,Tomato,2026-04-30,Ambala,50
96,Tomato,2026-05-01,Delhi,150
97,Tomato,2026-05-01,Chandigarh,50
98,Tomato,2026-05-02,Ambala,50
99,Tomato,2026-05-02,Panipat,200
100,Tomato,2026-05-02,Hisar,200
101,Tomato,2026-05-03,Rohtak,200
102,Tomato,2026-05-03,Sonipat,300
103,Tomato,2026-05-03,Karnal,100
104,Tomato,2026-05-03,Hisar,300
105,Tomato,2026-05-04,Panipat,150
106,Tomato,2026-05-04,Rohtak,300
107,Tomato,2026-05-05,Chandigarh,100
108,Tomato,2026-05-05,Delhi,50
109,Tomato,2026-05-05,Rohtak,300
110,Tomato,2026-05-05,Ambala,200
111,Tomato,2026-05-07,Panipat,100
112,Tomato,2026-05-07,Gurugram,100
113,Tomato,2026-05-08,Chandigarh,100
114,Tomato,2026-05-08,Sonipat,100
115,Tomato,2026-05-09,Karnal,300
116,Tomato,2026-05-09,Panipat,100
117,Tomato,2026-05-09,Delhi,100
118,Tomato,2026-05-09,Ambala,50
119,Tomato,2026-05-10,Chandigarh,200
120,Tomato,2026-05-10,Chandigarh,50
121,Tomato,2026-05-10,Panipat,50
122,Tomato,2026-05-10,Panipat,50
123,Tomato,2026-05-12,Gurugram,150
124,Tomato,2026-05-12,Sonipat,100
125,Tomato,2026-05-12,Delhi,150
126,Tomato,2026-05-13,Ambala,50
127,Tomato,2026-05-13,Karnal,150
128,Tomato,2026-05-13,Ludhiana,200
129,Tomato,2026-05-13,Gurugram,300
130,Tomato,2026-05-14,Sonipat,300
131,Tomato,2026-05-14,Ambala,150
132,Tomato,2026-05-15,Gurugram,200
133,Tomato,2026-05-15,Sonipat,50
134,Tomato,2026-05-16,Hisar,150
135,Tomato,2026-05-16,Gurugram,100
136,Tomato,2026-05-17,Gurugram,200
137,Tomato,2026-05-17,Ludhiana,200
138,Tomato,2026-05-17,Gurugram,150
139,Tomato,2026-05-17,Ludhiana,300
140,Tomato,2026-05-18,Delhi,150
141,Tomato,2026-05-18,Sonipat,300
142,Tomato,2026-05-18,Karnal,150
143,Tomato,2026-05-19,Delhi,50
144,Tomato,2026-05-19,Rohtak,300
145,Tomato,2026-05-19,Rohtak,300
146,Tomato,2026-05-20,Karnal,50
147,Tomato,2026-05-21,Chandigarh,150
148,Tomato,2026-05-21,Chandigarh,300
149,Tomato,2026-05-22,Gurugram,200
150,Tomato,2026-05-23,Karnal,300
151,Tomato,2026-05-23,Panipat,100
152,Tomato,2026-05-23,Ludhiana,300
153,Tomato,2026-05-24,Chandigarh,50
154,Tomato,2026-05-25,Karnal,300
155,Tomato,2026-05-25,Sonipat,300
156,Tomato,2026-05-26,Ambala,300
157,Tomato,2026-05-26,Sonipat,200
158,Tomato,2026-05-26,Gurugram,50
159,Tomato,2026-05-27,Karnal,200
160,Tomato,2026-05-27,Karnal,50
161,Tomato,2026-05-27,Panipat,150
162,Tomato,2026-05-28,Chandigarh,150
163,Tomato,2026-05-28,Hisar,200
164,Tomato,2026-05-29,Ludhiana,50
165,Tomato,2026-05-29,Rohtak,150
166,Tomato,2026-05-29,Delhi,300
167,Tomato,2026-05-29,Panipat,150
168,Tomato,2026-05-29,Ambala,300
169,Tomato,2026-05-30,Hisar,150
170,Tomato,2026-05-30,Ambala,50
171,Tomato,2026-05-31,Chandigarh,150
172,Tomato,2026-05-31,Hisar,100
173,Tomato,2026-06-01,Gurugram,200
174,Tomato,2026-06-01,Ludhiana,300
175,Tomato,2026-06-02,Rohtak,300
176,Tomato,2026-06-02,Sonipat,200
177,Tomato,2026-06-03,Panipat,100
178,Tomato,2026-06-03,Sonipat,100
179,Tomato,2026-06-03,Sonipat,150
180,Tomato,2026-06-04,Ambala,50
181,Tomato,2026-06-04,Karnal,200
182,Tomato,2026-06-04,Gurugram,50
183,Tomato,2026-06-05,Karnal,300
184,Tomato,2026-06-05,Sonipat,200
185,Tomato,2026-06-06,Rohtak,100
186,Tomato,2026-06-06,Rohtak,100
187,Tomato,2026-06-06,Ambala,300
188,Tomato,2026-06-07,Rohtak,300
189,Tomato,2026-06-07,Sonipat,50
190,Tomato,2026-06-07,Sonipat,150
191,Tomato,2026-06-08,Sonipat,300
192,Tomato,2026-06-08,Hisar,300
193,Tomato,2026-06-08,Ambala,50
194,Tomato,2026-06-08,Panipat,50
195,Tomato,2026-06-09,Ludhiana,200
196,Tomato,2026-06-09,Sonipat,100
197,Tomato,2026-06-09,Hisar,300
198,Tomato,2026-06-10,Sonipat,300
199,Tomato,2026-06-10,Sonipat,300
200,Tomato,2026-06-10,Chandigarh,150
201,Tomato,2026-06-10,Sonipat,150
202,Tomato,2026-06-11,Delhi,100
203,Tomato,2026-06-11,Hisar,200
204,Tomato,2026-06-11,Sonipat,50
205,Tomato,2026-06-11,Rohtak,100
206,Tomato,2026-06-12,Chandigarh,300
207,Tomato,2026-06-12,Hisar,100
208,Tomato,2026-06-12,Ambala,50
209,Tomato,2026-06-13,Ambala,50
210,Tomato,2026-06-13,Chandigarh,300
211,Tomato,2026-06-13,Delhi,50
212,Tomato,2026-06-13,Ludhiana,100
213,Tomato,2026-06-14,Ambala,300
214,Tomato,2026-06-14,Rohtak,200
215,Tomato,2026-06-14,Chandigarh,200
216,Tomato,2026-06-14,Gurugram,50
217,Tomato,2026-06-15,Ludhiana,200
218,Tomato,2026-06-15,Gurugram,300
219,Tomato,2026-06-16,Ambala,50
220,Tomato,2026-06-17,Karnal,50
221,Tomato,2026-06-17,Panipat,300
222,Tomato,2026-06-18,Chandigarh,200
223,Tomato,2026-06-18,Panipat,100
224,Tomato,2026-06-18,Rohtak,50
225,Tomato,2026-06-19,Rohtak,200
226,Tomato,2026-06-19,Karnal,150
227,Tomato,2026-06-19,Hisar,150
228,Tomato,2026-06-20,Delhi,100
229,Tomato,2026-06-20,Hisar,300
230,Tomato,2026-06-20,Panipat,150
231,Tomato,2026-06-21,Gurugram,300
232,Tomato,2026-06-21,Panipat,200
233,Tomato,2026-06-21,Karnal,200
234,Tomato,2026-06-22,Chandigarh,300
235,Tomato,2026-06-22,Ludhiana,100
236,Tomato,2026-06-23,Panipat,150
237,Tomato,2026-06-23,Ambala,150
238,Tomato,2026-06-24,Hisar,100
239,Tomato,2026-06-24,Delhi,100
240,Tomato,2026-06-24,Ludhiana,100
241,Tomato,2026-06-25,Gurugram,300
242,Tomato,2026-06-25,Ambala,50
243,Tomato,2026-06-25,Sonipat,200
244,Tomato,2026-06-26,Rohtak,50
245,Tomato,2026-06-26,Sonipat,200
246,Tomato,2026-06-26,Ambala,200
247,Tomato,2026-06-26,Delhi,50
248,Tomato,2026-06-27,Ambala,50
249,Tomato,2026-06-27,Hisar,200
250,Tomato,2026-06-27,Ambala,300
251,Tomato,2026-06-28,Panipat,300
252,Tomato,2026-06-28,Rohtak,100
253,Tomato,2026-06-28,Ludhiana,200
254,Tomato,2026-06-29,Chandigarh,150
255,Tomato,2026-06-29,Karnal,50
256,Tomato,2026-06-29,Ambala,300
257,Tomato,2026-06-29,Chandigarh,100
258,Tomato,2026-06-30,Ambala,100
259,Tomato,2026-06-30,Rohtak,150
260,Tomato,2026-06-30,Karnal,50
261,Tomato,2026-07-01,Panipat,200
262,Tomato,2026-07-01,Gurugram,200
263,Tomato,2026-07-01,Hisar,300
264,Tomato,2026-07-02,Karnal,300
265,Tomato,2026-07-02,Rohtak,50
266,Tomato,2026-07-02,Delhi,300
267,Tomato,2026-07-03,Ambala,150
268,Tomato,2026-07-03,Gurugram,150
269,Tomato,2026-07-03,Karnal,300
270,Tomato,2026-07-04,Karnal,200
271,Tomato,2026-07-04,Hisar,300
272,Tomato,2026-07-04,Rohtak,150
273,Tomato,2026-07-04,Sonipat,200
274,Tomato,2026-07-04,Chandigarh,50
275,Tomato,2026-07-05,Gurugram,50
276,Tomato,2026-07-05,Chandigarh,150
277,Tomato,2026-07-06,Chandigarh,300
278,Tomato,2026-07-06,Panipat,200
279,Tomato,2026-07-07,Karnal,150
280,Tomato,2026-07-07,Ludhiana,200
281,Tomato,2026-07-07,Ambala,50
282,Tomato,2026-07-07,Ludhiana,50
283,Tomato,2026-07-08,Panipat,50
284,Tomato,2026-07-08,Hisar,100
285,Tomato,2026-07-09,Gurugram,200
286,Tomato,2026-07-09,Gurugram,300
287,Tomato,2026-07-10,Chandigarh,50
288,Tomato,2026-07-10,Panipat,100
289,Tomato,2026-07-10,Panipat,50
290,Tomato,2026-07-11,Gurugram,50
291,Tomato,2026-07-11,Chandigarh,100
292,Tomato,2026-07-12,Ludhiana,150
293,Tomato,2026-07-12,Gurugram,100
294,Tomato,2026-07-12,Ambala,150
295,Tomato,2026-07-12,Sonipat,100
296,Tomato,2026-07-13,Karnal,150
297,Tomato,2026-07-13,Karnal,100
298,Tomato,2026-07-14,Karnal,100
299,Tomato,2026-07-14,Ambala,150
300,Tomato,2026-07-14,Sonipat,50
301,Tomato,2026-07-15,Ludhiana,300
302,Tomato,2026-07-15,Rohtak,300
303,Tomato,2026-07-15,Rohtak,200
304,Tomato,2026-07-16,Gurugram,300
305,Tomato,2026-07-16,Gurugram,200
306,Tomato,2026-07-16,Ambala,150
307,Tomato,2026-07-17,Chandigarh,150
308,Tomato,2026-07-18,Hisar,100
309,Tomato,2026-07-18,Ambala,100
310,Tomato,2026-07-18,Rohtak,300
311,Tomato,2026-07-18,Hisar,200
312,Tomato,2026-07-19,Gurugram,200
313,Tomato,2026-07-19,Sonipat,200
314,Tomato,2026-07-19,Delhi,300
315,Tomato,2026-07-20,Ludhiana,150
316,Tomato,2026-07-20,Rohtak,50
317,Tomato,2026-07-20,Karnal,200
318,Tomato,2026-07-21,Ambala,150
319,Tomato,2026-07-21,Sonipat,300
320,Tomato,2026-07-22,Panipat,100
321,Tomato,2026-07-22,Panipat,200
322,Tomato,2026-07-23,Sonipat,200
323,Tomato,2026-07-23,Hisar,100
324,Tomato,2026-07-23,Hisar,150
325,Tomato,2026-07-23,Gurugram,200
326,Tomato,2026-07-24,Panipat,200
327,Tomato,2026-07-24,Sonipat,300
328,Tomato,2026-07-24,Sonipat,300
329,Tomato,2026-07-25,Panipat,100
330,Tomato,2026-07-25,Chandigarh,200
331,Tomato,2026-07-25,Hisar,100
332,Tomato,2026-07-26,Sonipat,100
333,Tomato,2026-07-27,Hisar,200
334,Tomato,2026-07-27,Sonipat,300
335,Tomato,2026-07-27,Chandigarh,150
336,Tomato,2026-07-28,Ludhiana,150
337,Tomato,2026-07-28,Panipat,300
338,Tomato,2026-07-28,Ambala,50
339,Tomato,2026-07-29,Rohtak,100
340,Tomato,2026-07-30,Panipat,200
341,Tomato,2026-07-30,Delhi,200
342,Tomato,2026-07-30,Gurugram,150
343,Tomato,2026-07-30,Gurugram,150
344,Tomato,2026-07-31,Panipat,150
345,Tomato,2026-08-01,Rohtak,200
346,Tomato,2026-08-01,Delhi,150
347,Tomato,2026-08-01,Ambala,100
348,Tomato,2026-08-02,Chandigarh,100
349,Tomato,2026-08-02,Panipat,150
350,Tomato,2026-08-03,Gurugram,300
351,Tomato,2026-08-03,Ludhiana,200
352,Tomato,2026-08-04,Panipat,200
353,Tomato,2026-08-04,Sonipat,100
354,Tomato,2026-08-04,Gurugram,200
355,Tomato,2026-08-04,Ambala,300
356,Tomato,2026-08-05,Hisar,50
357,Tomato,2026-08-05,Delhi,100
358,Tomato,2026-08-06,Panipat,150
359,Tomato,2026-08-06,Ambala,200
360,Tomato,2026-08-07,Panipat,200
361,Tomato,2026-08-07,Gurugram,300
362,Tomato,2026-08-07,Chandigarh,200
363,Tomato,2026-08-07,Hisar,100
364,Tomato,2026-08-08,Karnal,150
365,Tomato,2026-08-08,Delhi,100
366,Tomato,2026-08-08,Sonipat,200
367,Tomato,2026-08-08,Delhi,50
368,Tomato,2026-08-09,Delhi,200
369,Tomato,2026-08-09,Chandigarh,50
370,Tomato,2026-08-09,Rohtak,200
371,Tomato,2026-08-11,Delhi,150
372,Tomato,2026-08-11,Ambala,100
373,Tomato,2026-08-12,Hisar,150
374,Tomato,2026-08-12,Karnal,100
375,Tomato,2026-08-12,Panipat,200
376,Tomato,2026-08-12,Sonipat,100
377,Tomato,2026-08-12,Chandigarh,100
378,Tomato,2026-08-13,Rohtak,50
379,Tomato,2026-08-13,Gurugram,150
380,Tomato,2026-08-13,Ludhiana,200
381,Tomato,2026-08-13,Chandigarh,150
382,Tomato,2026-08-14,Chandigarh,100
383,Tomato,2026-08-14,Ambala,300
384,Tomato,2026-08-14,Ludhiana,300
385,Tomato,2026-08-15,Hisar,300
386,Tomato,2026-08-15,Chandigarh,150
387,Tomato,2026-08-15,Gurugram,200
388,Tomato,2026-08-15,Chandigarh,100
389,Tomato,2026-08-16,Gurugram,200
390,Tomato,2026-08-16,Panipat,100
391,Tomato,2026-08-16,Panipat,50
392,Tomato,2026-08-17,Rohtak,300
393,Tomato,2026-08-17,Sonipat,150
394,Tomato,2026-08-18,Ludhiana,200
395,Tomato,2026-08-18,Panipat,50
396,Tomato,2026-08-18,Hisar,150
397,Tomato,2026-08-19,Ambala,100
398,Tomato,2026-08-19,Rohtak,300
399,Tomato,2026-08-19,Gurugram,100
400,Tomato,2026-08-19,Hisar,300
401,Tomato,2026-08-20,Hisar,200
402,Tomato,2026-08-20,Karnal,150
403,Tomato,2026-08-21,Delhi,200
404,Tomato,2026-08-21,Karnal,300
405,Tomato,2026-08-21,Ambala,150
406,Tomato,2026-08-21,Panipat,300
407,Tomato,2026-08-22,Delhi,100
408,Tomato,2026-08-22,Sonipat,150
409,Tomato,2026-08-22,Delhi,200
410,Tomato,2026-08-22,Ambala,200
411,Tomato,2026-08-23,Panipat,300
412,Tomato,2026-08-23,Ludhiana,100
413,Tomato,2026-08-24,Chandigarh,50
414,Tomato,2026-08-24,Sonipat,50
415,Tomato,2026-08-24,Panipat,150
416,Tomato,2026-08-25,Sonipat,200
417,Tomato,2026-08-25,Rohtak,100
418,Tomato,2026-08-25,Delhi,100
419,Tomato,2026-08-26,Hisar,150
420,Tomato,2026-08-26,Ludhiana,150
421,Tomato,2026-08-26,Ludhiana,50
422,Tomato,2026-08-26,Gurugram,50
423,Tomato,2026-08-27,Sonipat,50
424,Tomato,2026-08-27,Panipat,200
425,Tomato,2026-08-27,Delhi,300
426,Tomato,2026-08-28,Panipat,200
427,Tomato,2026-08-28,Rohtak,50
428,Tomato,2026-08-28,Karnal,200
429,Tomato,2026-08-29,Ludhiana,100
430,Tomato,2026-08-29,Rohtak,100
431,Tomato,2026-08-29,Ludhiana,50
432,Tomato,2026-08-29,Chandigarh,100
433,Tomato,2026-08-30,Panipat,150
434,Tomato,2026-08-31,Sonipat,50
435,Tomato,2026-08-31,Chandigarh,300
436,Tomato,2026-08-31,Delhi,150
437,Tomato,2026-09-01,Gurugram,50
438,Tomato,2026-09-01,Karnal,50
439,Tomato,2026-09-02,Karnal,200
440,Tomato,2026-09-02,Gurugram,50
441,Tomato,2026-09-02,Sonipat,150
442,Tomato,2026-09-03,Karnal,50
443,Tomato,2026-09-03,Rohtak,300
444,Tomato,2026-09-04,Ludhiana,300
445,Tomato,2026-09-04,Sonipat,150
446,Tomato,2026-09-04,Delhi,100
447,Tomato,2026-09-05,Ambala,150
448,Tomato,2026-09-05,Rohtak,50
449,Tomato,2026-09-05,Gurugram,100
450,Tomato,2026-09-05,Chandigarh,50
451,Tomato,2026-09-06,Sonipat,200
452,Tomato,2026-09-06,Karnal,150
453,Tomato,2026-09-06,Chandigarh,150
454,Tomato,2026-09-07,Karnal,50
455,Tomato,2026-09-07,Hisar,150
456,Tomato,2026-09-07,Sonipat,150
457,Tomato,2026-09-08,Rohtak,200
458,Tomato,2026-09-08,Ludhiana,300
459,Tomato,2026-09-09,Karnal,300
460,Tomato,2026-09-09,Sonipat,300
461,Tomato,2026-09-09,Gurugram,150
462,Tomato,2026-09-10,Ludhiana,150
463,Tomato,2026-09-10,Ambala,300
464,Tomato,2026-09-10,Sonipat,50
465,Tomato,2026-09-10,Chandigarh,100
466,Tomato,2026-09-11,Chandigarh,150
467,Tomato,2026-09-11,Ludhiana,50
468,Tomato,2026-09-12,Chandigarh,200
469,Tomato,2026-09-12,Sonipat,50
470,Tomato,2026-09-12,Ambala,150
471,Tomato,2026-09-12,Ambala,100
472,Wheat,2026-03-17,Chandigarh,200
473,Wheat,2026-03-17,Karnal,300
474,Wheat,2026-03-17,Ludhiana,300
475,Wheat,2026-03-18,Sonipat,300
476,Wheat,2026-03-18,Panipat,150
477,Wheat,2026-03-18,Hisar,150
478,Wheat,2026-03-19,Delhi,50
479,Wheat,2026-03-19,Sonipat,100
480,Wheat,2026-03-19,Rohtak,100
481,Wheat,2026-03-19,Delhi,200
482,Wheat,2026-03-20,Karnal,50
483,Wheat,2026-03-20,Rohtak,300
484,Wheat,2026-03-20,Hisar,200
485,Wheat,2026-03-20,Chandigarh,300
486,Wheat,2026-03-21,Gurugram,100
487,Wheat,2026-03-21,Ambala,50
488,Wheat,2026-03-21,Rohtak,100
489,Wheat,2026-03-22,Ludhiana,50
490,Wheat,2026-03-22,Ludhiana,50
491,Wheat,2026-03-23,Hisar,150
492,Wheat,2026-03-23,Rohtak,300
493,Wheat,2026-03-24,Panipat,300
494,Wheat,2026-03-24,Rohtak,50
495,Wheat,2026-03-24,Panipat,50
496,Wheat,2026-03-24,Karnal,300
497,Wheat,2026-03-25,Chandigarh,200
498,Wheat,2026-03-25,Karnal,100
499,Wheat,2026-03-25,Chandigarh,100
500,Wheat,2026-03-25,Ambala,100
501,Wheat,2026-03-26,Chandigarh,300
502,Wheat,2026-03-26,Hisar,50
503,Wheat,2026-03-26,Ambala,150
504,Wheat,2026-03-26,Ludhiana,200
505,Wheat,2026-03-27,Sonipat,300
506,Wheat,2026-03-27,Hisar,300
507,Wheat,2026-03-27,Gurugram,100
508,Wheat,2026-03-27,Chandigarh,300
509,Wheat,2026-03-28,Ludhiana,150
510,Wheat,2026-03-28,Gurugram,300
511,Wheat,2026-03-28,Gurugram,150
512,Wheat,2026-03-29,Gurugram,300
513,Wheat,2026-03-29,Karnal,300
514,Wheat,2026-03-30,Chandigarh,100
515,Wheat,2026-03-30,Hisar,300
516,Wheat,2026-03-30,Panipat,150
517,Wheat,2026-03-30,Ludhiana,200
518,Wheat,2026-03-31,Rohtak,150
519,Wheat,2026-03-31,Ambala,50
520,Wheat,2026-03-31,Chandigarh,100
521,Wheat,2026-04-01,Panipat,50
522,Wheat,2026-04-01,Panipat,100
523,Wheat,2026-04-01,Karnal,150
524,Wheat,2026-04-02,Panipat,300
525,Wheat,2026-04-02,Chandigarh,300
526,Wheat,2026-04-02,Ambala,300
527,Wheat,2026-04-02,Sonipat,50
528,Wheat,2026-04-02,Rohtak,200
529,Wheat,2026-04-03,Gurugram,100
530,Wheat,2026-04-03,Sonipat,150
531,Wheat,2026-04-03,Gurugram,300
532,Wheat,2026-04-03,Karnal,100
533,Wheat,2026-04-04,Ambala,200
534,Wheat,2026-04-04,Ambala,100
535,Wheat,2026-04-04,Delhi,150
536,Wheat,2026-04-04,Ludhiana,100
537,Wheat,2026-04-05,Ludhiana,300
538,Wheat,2026-04-05,Delhi,300
539,Wheat,2026-04-05,Panipat,50
540,Wheat,2026-04-05,Ambala,200
541,Wheat,2026-04-06,Gurugram,150
542,Wheat,2026-04-06,Hisar,200
543,Wheat,2026-04-06,Delhi,100
544,Wheat,2026-04-07,Ambala,50
545,Wheat,2026-04-07,Hisar,50
546,Wheat,2026-04-07,Panipat,300
547,Wheat,2026-04-08,Sonipat,150
548,Wheat,2026-04-08,Chandigarh,100
549,Wheat,2026-04-08,Sonipat,50
550,Wheat,2026-04-08,Hisar,200
551,Wheat,2026-04-09,Ambala,300
552,Wheat,2026-04-09,Chandigarh,50
553,Wheat,2026-04-09,Karnal,200
554,Wheat,2026-04-10,Sonipat,150
555,Wheat,2026-04-10,Delhi,200
556,Wheat,2026-04-10,Ambala,50
557,Wheat,2026-04-10,Chandigarh,200
558,Wheat,2026-04-11,Panipat,50
559,Wheat,2026-04-11,Hisar,300
560,Wheat,2026-04-11,Hisar,100
561,Wheat,2026-04-11,Sonipat,200
562,Wheat,2026-04-11,Chandigarh,100
563,Wheat,2026-04-12,Karnal,300
564,Wheat,2026-04-12,Ambala,300
565,Wheat,2026-04-13,Karnal,100
566,Wheat,2026-04-13,Delhi,150
567,Wheat,2026-04-13,Hisar,150
568,Wheat,2026-04-14,Delhi,200
569,Wheat,2026-04-14,Hisar,150
570,Wheat,2026-04-15,Gurugram,100
571,Wheat,2026-04-15,Gurugram,150
572,Wheat,2026-04-16,Panipat,100
573,Wheat,2026-04-16,Gurugram,300
574,Wheat,2026-04-16,Ludhiana,300
575,Wheat,2026-04-17,Sonipat,200
576,Wheat,2026-04-17,Rohtak,100
577,Wheat,2026-04-17,Karnal,150
578,Wheat,2026-04-17,Sonipat,50
579,Wheat,2026-04-18,Ambala,100
580,Wheat,2026-04-18,Panipat,50
581,Wheat,2026-04-18,Gurugram,50
582,Wheat,2026-04-18,Panipat,200
583,Wheat,2026-04-19,Ludhiana,50
584,Wheat,2026-04-19,Gurugram,100
585,Wheat,2026-04-19,Chandigarh,100
586,Wheat,2026-04-20,Panipat,300
587,Wheat,2026-04-20,Ludhiana,300
588,Wheat,2026-04-20,Sonipat,50
589,Wheat,2026-04-21,Hisar,300
590,Wheat,2026-04-21,Chandigarh,50
591,Wheat,2026-04-21,Panipat,100
592,Wheat,2026-04-21,Rohtak,150
593,Wheat,2026-04-22,Panipat,50
594,Wheat,2026-04-22,Ludhiana,50
595,Wheat,2026-04-22,Delhi,200
596,Wheat,2026-04-23,Panipat,150
597,Wheat,2026-04-23,Delhi,50
598,Wheat,2026-04-23,Panipat,200
599,Wheat,2026-04-23,Karnal,200
600,Wheat,2026-04-24,Gurugram,200
601,Wheat,2026-04-24,Ambala,300
602,Wheat,2026-04-25,Delhi,100
603,Wheat,2026-04-25,Karnal,300
604,Wheat,2026-04-25,Ludhiana,300
605,Wheat,2026-04-25,Rohtak,50
606,Wheat,2026-04-26,Gurugram,200
607,Wheat,2026-04-26,Hisar,100
608,Wheat,2026-04-26,Rohtak,150
609,Wheat,2026-04-27,Gurugram,150
610,Wheat,2026-04-27,Panipat,100
611,Wheat,2026-04-27,Chandigarh,150
612,Wheat,2026-04-27,Rohtak,150
613,Wheat,2026-04-28,Rohtak,300
614,Wheat,2026-04-28,Panipat,100
615,Wheat,2026-04-28,Sonipat,150
616,Wheat,2026-04-28,Hisar,100
617,Wheat,2026-04-28,Delhi,200
618,Wheat,2026-04-29,Chandigarh,300
619,Wheat,2026-04-29,Karnal,200
620,Wheat,2026-04-30,Panipat,300
621,Wheat,2026-04-30,Gurugram,200
622,Wheat,2026-04-30,Chandigarh,100
623,Wheat,2026-05-01,Karnal,100
624,Wheat,2026-05-01,Ambala,300
625,Wheat,2026-05-01,Karnal,100
626,Wheat,2026-05-01,Panipat,300
627,Wheat,2026-05-02,Sonipat,300
628,Wheat,2026-05-02,Sonipat,150
629,Wheat,2026-05-02,Delhi,300
630,Wheat,2026-05-02,Chandigarh,50
631,Wheat,2026-05-02,Sonipat,150
632,Wheat,2026-05-03,Sonipat,50
633,Wheat,2026-05-03,Gurugram,200
634,Wheat,2026-05-04,Panipat,100
635,Wheat,2026-05-04,Karnal,50
636,Wheat,2026-05-04,Sonipat,100
637,Wheat,2026-05-04,Rohtak,300
638,Wheat,2026-05-05,Ambala,150
639,Wheat,2026-05-05,Ambala,300
640,Wheat,2026-05-05,Ambala,100
641,Wheat,2026-05-06,Rohtak,150
642,Wheat,2026-05-06,Delhi,200
643,Wheat,2026-05-07,Sonipat,300
